gbifID,sex,stateProvince,locality,decimalLatitude,decimalLongitude,species,kingdom,phylum,class,order,family,genus,specificEpithet
919451697,Male,Magdalena,"Rio La Victoria, 50 mi. NE of El Banco",9.00472,-73.92097806,Hydrochoerus isthmius,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,isthmius
919418476,Male,Magdalena,"Rio La Victoria, 50 mi. NE of El Banco",9.00472,-73.97806,Hydrochoerus isthmius,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,isthmius
865745137,,Córdoba,"Cordoba; Palestina, Rio Manso, affl. Rio Sinu",8.5942,-76.1128,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
865745132,,Magdalena,"Rio Buritaca, près Don Diego/Departamento del Magdalena",11.2666,-73.7666,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
865745131,,Bolívar,"Coloso, Rio Pechilin/Departamento de Bolívar",9.4966,-75.3555,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
865745126,,Bolívar,"Coloso, Rio Pechilin/Departamento de Bolívar",9.4966,-75.3555,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
865745123,,Córdoba,"Cordoba; Palestina, Rio Manso, affl. Rio Sinu",8.5942,-76.1128,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
865745118,,Córdoba,"Cordoba; Palestina, Rio Manso, affl. Rio Sinu",8.5942,-76.1128,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
865738760,,Bolívar,"San Onofre, El Pilon/Departamento de Bolívar",9.8333,-75.5,Oecomys concolor,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oecomys,concolor
865737823,,Sucre,Tolù/Departamento de Sucre,9.528,-75.58,Nectomys squamipes,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,squamipes
865737822,,Sucre,Tolù/Departamento de Sucre,9.528,-75.58,Nectomys squamipes,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,squamipes
865737821,,Magdalena,Bonda/Departamento del Magdalena,11.2333,-74.1167,Nectomys squamipes,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,squamipes
865737804,,Sucre,Toluviejo/Departamento de Sucre,9.4527,-75.43744,Nectomys squamipes,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,squamipes
865729163,,Bolívar,Soplaviento/Departamento de Bolívar,10.3875,-75.1356,Pattonomys semivillosus,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Pattonomys,semivillosus
859562831,Indeterminate,Magdalena,0,11.24079,-74.19904,Diplomys rufodorsalis,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Diplomys,rufodorsalis
859562826,Indeterminate,Magdalena,Sierra Nevada de Santa Marta,11.24079,-74.19904,Diplomys rufodorsalis,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Diplomys,rufodorsalis
859551727,Female,Magdalena,,11.24079,-74.19904,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
859551497,Male,Magdalena,,11.24079,-74.19904,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
859539254,Male,La Guajira,San Miguel,11.54444,-72.90722,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859539252,Female,Magdalena,,10.9779,-74.3273,Rhipidomys mastacalis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rhipidomys,mastacalis
859539249,Male,Magdalena,,10.9779,-74.3273,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859539247,Male,Magdalena,,10.9779,-74.3273,Rhipidomys mastacalis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rhipidomys,mastacalis
859539244,Female,Magdalena,,10.9779,-74.3273,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859539242,Female,La Guajira,Macotama,11.54444,-72.90722,Thomasomys laniger,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,laniger
859539239,Male,Magdalena,,10.9779,-74.3273,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859539237,Male,La Guajira,Macotama,11.54444,-72.90722,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859539234,Male,Magdalena,,10.9779,-74.3273,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859539232,Female,La Guajira,Macotama,11.54444,-72.90722,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859539229,Male,Magdalena,,10.9779,-74.3273,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859539227,Male,La Guajira,San Miguel,11.54444,-72.90722,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859539223,Female,La Guajira,San Antonio,11.54444,-72.90722,Oecomys flavicans,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oecomys,flavicans
859539218,Male,Magdalena,,10.9779,-74.3273,Oecomys flavicans,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oecomys,flavicans
859539214,Female,La Guajira,Macotama,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539213,Male,La Guajira,Macotama,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539208,Male,La Guajira,Macotama,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539205,Male,La Guajira,Macotama,11.54444,-72.90722,Microryzomys minutus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microryzomys,minutus
859539202,Male,La Guajira,Macotama,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539200,Male,La Guajira,La Concepcion,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539195,Male,La Guajira,La Concepcion,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539191,Male,La Guajira,San Miguel,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539187,Male,La Guajira,San Miguel,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539180,Male,La Guajira,San Miguel,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539175,Male,La Guajira,San Miguel,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859539170,Male,La Guajira,San Miguel,11.54444,-72.90722,Oligoryzomys fulvescens,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,fulvescens
859538309,Male,La Guajira,Cherua,11.54444,-72.90722,Melanomys caliginosus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Melanomys,caliginosus
859538304,Male,La Guajira,La Concepcion,11.54444,-72.90722,Melanomys caliginosus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Melanomys,caliginosus
859538027,Male,Magdalena,"Bonda, Masinga Vieja",11.24079,-74.19904,Zygodontomys brevicauda,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,brevicauda
859538021,Male,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859538016,Indeterminate,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859538011,Indeterminate,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859537943,Indeterminate,Magdalena,Cincinati,11.24079,-74.19904,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859537938,Indeterminate,Magdalena,Cincinati,11.24079,-74.19904,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859537933,Female,Magdalena,Cincinati,11.24079,-74.19904,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859537928,Female,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859537923,Female,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859537918,Male,Magdalena,Cincinati,11.24079,-74.19904,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859537889,Female,Magdalena,Cincinati,11.24079,-74.19904,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859537884,Indeterminate,Magdalena,Cincinati,11.24079,-74.19904,Transandinomys talamancae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Transandinomys,talamancae
859537525,Indeterminate,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859537521,Male,Magdalena,"Bonda, Masinga Vieja",11.24079,-74.19904,Sigmodon hispidus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus
859537482,Male,Magdalena,"Bonda, Masinga Vieja",11.24079,-74.19904,Sigmodon hispidus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus
859537477,Female,Magdalena,Cincinati,11.24079,-74.19904,Sciurus granatensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis
859537247,Female,Magdalena,Cincinati,11.24079,-74.19904,Nephelomys albigularis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys,albigularis
859537243,Male,Magdalena,"Bonda, Masinga Vieja",11.24079,-74.19904,Sigmodon hispidus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus
