id	description	type	source	created	creator	contributor	license
urn:lsid:organismnames.com:name:3484299	Cormacarena | Corponariño | CDA | Corpoamazonía	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:catalogueoflife.org:taxon:4f16759f-5e17-11e7-8cee-bc764e092680:col20170824	Carder | Corponariño | Cortolima | Corpoamazonía | Corpocaldas | CRQ | CVC	Corporaciones autónomas regionales donde tiene presencia la especie					
eol.org/pages/Mazama%20sanctaemartae	Corpoguajira | CVS	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:catalogueoflife.org:taxon:259114ac-5e17-11e7-8cee-bc764e092680:col20170824	Codechocó | Corpoamazonía	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:organismnames.com:name:3484302	Cormacaren	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:organismnames.com:name:3535811	Cortolima	Corporaciones autónomas regionales donde tiene presencia la especie					
gbif.org/species/8086627	Cormacarena | Corpoguajira | CDA | CVC | CVS	Corporaciones autónomas regionales donde tiene presencia la especie					
catalogueoflife.org/data/taxon/BNR3Q							
catalogueoflife.org/data/taxon/BNR4K	Corponariño	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:catalogueoflife.org:taxon:4f167916-5e17-11e7-8cee-bc764e092680:col20170824	Carder | Corponariño | Cortolima | CRQ | CVC	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:catalogueoflife.org:taxon:2cb68cb7-5e17-11e7-8cee-bc764e092680:col20170824	Cormacarena | Carder | Corponariño | Cortolima | CDA | Codechocó | Corpocaldas | CRQ | CVC | CVS	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:catalogueoflife.org:taxon:2cb68e47-5e17-11e7-8cee-bc764e092680:col20170824	Cormacarena | Corpoguajira | CDA | Codechocó | CRQ | CVC | CVS	Corporaciones autónomas regionales donde tiene presencia la especie					
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Cormacarena | CDA | Corpoamazonía	Corporaciones autónomas regionales donde tiene presencia la especie					
