id	locality	countryCode	establishmentMeans	threatStatus	appendixCITES	occurrenceRemarks
urn:lsid:organismnames.com:name:3484299	Amazonas | Caquetá | Cauca | Meta | Vaupés | Vichada | Nariño | Putumayo | Cundinamarca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Orinoquía
urn:lsid:catalogueoflife.org:taxon:4f16759f-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Boyacá | Caldas | Cauca | Cesar | Cundinamarca | Huila | Nariño | Norte de Santander | Quindío | Risaralda | Santander | Tolima | Valle del Cauca | Caquetá	CO		VU		Distribución en regiones naturales de Colombia y zonas de interés: Andina | Orinoquia | Serranía de Perijá
eol.org/pages/Mazama%20sanctaemartae	Bolívar | Cesar | La Guajira | Magdalena | Atlántico | Córdoba | Cundinamarca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Caribe | Sierra Nevada de Santa Marta
urn:lsid:catalogueoflife.org:taxon:259114ac-5e17-11e7-8cee-bc764e092680:col20170824	Chocó | Magdalena	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:organismnames.com:name:3484302	Amazonas | Caquetá | Meta | Putumayo | Vichada	CO				Distribución en regiones naturales de Colombia y zonas de interés: Sureste | Amazonia
urn:lsid:organismnames.com:name:3535811	Antioquia | Caldas | Cauca | Nariño | Valle del Cauca | Tolima	CO				Distribución en regiones naturales de Colombia y zonas de interés: Valles Interandinos
gbif.org/species/8086627	Caquetá | Casanare | Cesar | La Guajira | Magdalena | Meta | Santander | Valle del Cauca | Vichada | Amazonas | Guaviare | Meta | Vaupés | Arauca | Córdoba	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonia | Orinoquia | Pacífica | Valle Medio del Magdalena
catalogueoflife.org/data/taxon/BNR3Q	Boyacá | Cundinamarca | Santander | Norte de Santander	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina: Páramos
catalogueoflife.org/data/taxon/BNR4K	Nariño	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:4f167916-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Huila | Nariño | Risaralda | Quindío | Tolima | Valle del Cauca	CO		EN	II	Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:2cb68cb7-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Quindío | Risaralda | Amazonas | Guaviare | Meta | Putumayo | Vaupés | Antioquia | Arauca | Atlántico | Bolívar | Caldas | Caquetá | Casanare | Cesar | Chocó | Córdoba | Guainía | Magdalena | Nariño | Santander | Tolima | Valle del Cauca | Vichada	CO				
urn:lsid:catalogueoflife.org:taxon:2cb68e47-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Cauca | Caquetá | Guainía | Guaviare | Meta | Putumayo | Vaupés | Vichada | Antioquia | Arauca | Bolívar | Casanare | Chocó | Córdoba | La Guajira | Magdalena | Quindío | Valle del Cauca	CO		EN	II	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Caquetá | Guainía | Meta | Putumayo | Vaupés | Guaviare	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía S
urn:lsid:catalogueoflife.org:taxon:4f145f2d-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Arauca | Atlántico | Bolívar | Boyacá | Caldas | Caquetá | Casanare | Cauca | Cesar | Chocó | Córdoba | Cundinamarca | Huila | Magdalena | Meta | Nariño | Norte de Santander | Putumayo | Quindío | Risaralda | Santander | Sucre | Tolima | Valle del Cauca | Amazonas | Guaviare | Guainía | Vichada	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Ausente en Amazonas
urn:lsid:catalogueoflife.org:taxon:3b85b472-5e17-11e7-8cee-bc764e092680:col20170824	Nariño | Cauca | Huila | Putumayo	CO		VU	II	Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:4f146240-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Caquetá | Casanare | Guaviare | Meta | Vichada | Putumayo | Antioquia | Arauca | Bolívar | Guainía	CO			I	
