id	identifier	bibliographicCitation	title	creator	date	source
urn:lsid:organismnames.com:name:3484299	Bulletin of the American Museum of Natural History 35:191-238	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.	List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915	ALLEN JA	1916	Bulletin of the American Museum of Natural History 35:191-238
urn:lsid:catalogueoflife.org:taxon:4f16759f-5e17-11e7-8cee-bc764e092680:col20170824	Biota Colombiana 1:43-75	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.	Mamíferos (Synapsida: Theria) de Colombia	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA	2000	Biota Colombiana 1:43-75
eol.org/pages/Mazama%20sanctaemartae	Bulletin of the American Museum of Natural History 35:191-238	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.	List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915	ALLEN JA	1916	Bulletin of the American Museum of Natural History 35:191-238
urn:lsid:catalogueoflife.org:taxon:259114ac-5e17-11e7-8cee-bc764e092680:col20170824	Pp. 21-59, en: Biology and management of the Cervidae (CM Wemmer, ed.). Smithsonian Institution Press, Washington, D.C., USA	GROVES C y P GRUBB. 1987. Relationships of living deer. Pp. 21-59, en: Biology and management of the Cervidae (CM Wemmer, ed.). Smithsonian Institution Press, Washington, D.C., USA.	Relationships of living deer	GROVES C y P GRUBB	1987	Pp. 21-59, en: Biology and management of the Cervidae (CM Wemmer, ed.). Smithsonian Institution Press, Washington, D.C., USA
urn:lsid:organismnames.com:name:3484302	Bulletin of the American Museum of Natural History 35:191-238	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.	List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915	ALLEN JA	1916	Bulletin of the American Museum of Natural History 35:191-238
urn:lsid:organismnames.com:name:3535811	Bulletin of the American Museum of Natural History 35:191-238	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.	List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915	ALLEN JA	1916	Bulletin of the American Museum of Natural History 35:191-238
gbif.org/species/8086627	Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732	CABRERA A. 1961. Catálogo de los mamíferos de América del Sur. Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732.	Catálogo de los mamíferos de América del Sur	CABRERA A	1961	Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732
catalogueoflife.org/data/taxon/BNR3Q	Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732	CABRERA A. 1961. Catálogo de los mamíferos de América del Sur. Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732.	Catálogo de los mamíferos de América del Sur	CABRERA A	1961	Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732
catalogueoflife.org/data/taxon/BNR4K	Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732	CABRERA A. 1961. Catálogo de los mamíferos de América del Sur. Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732.	Catálogo de los mamíferos de América del Sur	CABRERA A	1961	Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732
urn:lsid:catalogueoflife.org:taxon:4f167916-5e17-11e7-8cee-bc764e092680:col20170824	Journal of Mammalogy 105(3):577-588.	Barrio, J., Gutiérrez, E.E. and D'Elía, G. 2024-03-01. The first living cervid species described in the 21st century and revalidation of Pudella (Artiodactyla). Journal of Mammalogy 105(3):577-588.	The first living cervid species described in the 21st century and revalidation of Pudella (Artiodactyla)		2024-03-01	Barrio, J., Gutiérrez, E.E. and D'Elía, G.
