id	isMarine	isFreshwater	isTerrestrial
urn:lsid:organismnames.com:name:3484299	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f16759f-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
eol.org/pages/Mazama%20sanctaemartae	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:259114ac-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:organismnames.com:name:3484302	FALSO	FALSO	VERDADERO
urn:lsid:organismnames.com:name:3535811	FALSO	FALSO	VERDADERO
gbif.org/species/8086627	FALSO	FALSO	VERDADERO
catalogueoflife.org/data/taxon/BNR3Q	FALSO	FALSO	VERDADERO
catalogueoflife.org/data/taxon/BNR4K	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f167916-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2cb68cb7-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2cb68e47-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f145f2d-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b85b472-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f146240-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f13d30f-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
gbif.org/es/species/165212249	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2caa3e00-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
departments.bucknell.edu/biology/resources/msw3/browse.asp?s=y&id=14000114	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2caa3c6c-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f13c529-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2caa2bb9-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b899e11-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f216fda-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f2172f3-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f217612-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f215385-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	VERDADERO	VERDADERO
urn:lsid:organismnames.com:name:5599121	FALSO	FALSO	VERDADERO
urn:lsid:organismnames.com:name:5657481	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f215d12-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	VERDADERO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f13e7de-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f13e96b-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f13eaf7-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f13da0a-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f21f1f4-5e17-11e7-8cee-bc764e092680:col20170824	VERDADERO	FALSO	VERDADERO
gbif.org/species/2434814	VERDADERO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f219a26-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2caa5700-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2cb2b305-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
