id	taxonID	scientificNameID	scientificName	nameAccordingTo	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	language	rightsHolder	bibliographicCitation
urn:lsid:organismnames.com:name:3484299	urn:lsid:organismnames.com:name:3484299	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898446	Passalites murelia	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Passalites	murelia	Especie	J. A. Allen, 1915	Válido	Elevación (m): 0-900	es	Sociedad Colombiana de Mastozoología	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.
urn:lsid:catalogueoflife.org:taxon:4f16759f-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:4f16759f-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=625072	Mazama rufina	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Mazama	rufina	Especie	(Pucheran, 1851)	Válido	Elevación (m): 1500-4000	es	Sociedad Colombiana de Mastozoología	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.
eol.org/pages/Mazama%20sanctaemartae	eol.org/pages/Mazama%20sanctaemartae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898449	Passalites sanctaemartae	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Passalites	sanctaemartae	Especie	(J. A. Allen, 1915)	Válido	Elevación (m): 0-900	es	Sociedad Colombiana de Mastozoología	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.
urn:lsid:catalogueoflife.org:taxon:259114ac-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:259114ac-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898202	Mazama temama	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Mazama	temama	Especie	(Kerr, 1792)	Válido	Elevación (m): 0-68	es	Sociedad Colombiana de Mastozoología	GROVES C y P GRUBB. 1987. Relationships of living deer. Pp. 21-59, en: Biology and management of the Cervidae (CM Wemmer, ed.). Smithsonian Institution Press, Washington, D.C., USA.
urn:lsid:organismnames.com:name:3484302	urn:lsid:organismnames.com:name:3484302	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898440	Mazama zamora	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Mazama	zamora	Especie	J. A. Allen, 1915	Válido	Elevación (m): 600-1200	es	Sociedad Colombiana de Mastozoología	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.
urn:lsid:organismnames.com:name:3535811	urn:lsid:organismnames.com:name:3535811	https://www.gbif.org/species/8872400	Mazama zetta	Mazama zetta Thomas, 1913 in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei accessed via GBIF.org on 2019-08-01.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Mazama	zetta	Especie	Thomas, 1913	Válido	Elevación (m): 1600-1950	es	Sociedad Colombiana de Mastozoología	ALLEN JA. 1916. List of mammals collected in Colombia by the American Museum of Natural History expeditions, 1910-1915. Bulletin of the American Museum of Natural History 35:191-238.
gbif.org/species/8086627	gbif.org/species/8086627	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898466	Odocoileus cariacou	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus	cariacou	Especie	(Boddaert, 1784)	Válido	Elevación (m): 0-600	es	Sociedad Colombiana de Mastozoología	CABRERA A. 1961. Catálogo de los mamíferos de América del Sur. Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732.
catalogueoflife.org/data/taxon/BNR3Q	catalogueoflife.org/data/taxon/BNR3Q	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898472	Odocoileus goudotii	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus	goudotii	Especie	(Gay & Gervais, 1846)	Válido	Elevación (m): 3500-4000	es	Sociedad Colombiana de Mastozoología	CABRERA A. 1961. Catálogo de los mamíferos de América del Sur. Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732.
catalogueoflife.org/data/taxon/BNR4K	catalogueoflife.org/data/taxon/BNR4K	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=898495	Odocoileus ustus	Tom Orrell (custodian), Dave Nicolson (ed). (2019). ITIS Global: The Integrated Taxonomic Information System (version Jun 2017). In: Species 2000 & ITIS Catalogue of Life, 2019 Annual Checklist (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Zarucchi J., Penev L., eds.). Digital resource at www.catalogueoflife.org/annual-checklist/2019. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-884X.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus	ustus	Especie	Trouessart, 1910	Válido	Elevación (m): 4100	es	Sociedad Colombiana de Mastozoología	CABRERA A. 1961. Catálogo de los mamíferos de América del Sur. Revista del Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Ciencias Zoológicas) 4:309-732.
urn:lsid:catalogueoflife.org:taxon:4f167916-5e17-11e7-8cee-bc764e092680:col20170824	urn:lsid:catalogueoflife.org:taxon:4f167916-5e17-11e7-8cee-bc764e092680:col20170824	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=625074	Pudella mephistophiles	Barrio, J., Gutiérrez, E.E. and D'Elía, G. 2024-03-01. The first living cervid species described in the 21st century and revalidation of Pudella (Artiodactyla). Journal of Mammalogy 105(3):577-588.	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Pudella	mephistophiles	Especie	(de Winton, 1896)	Válido	Elevación (m): 3000-3500	es	Sociedad Colombiana de Mastozoología	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.
